Date,Open,High,Low,Close,Volume,OpenInt
2009-03-26,38.924,40.759,38.924,40.681,11233582,0
2009-03-27,40.309,42.008,39.061,39.714,11620238,0
2009-03-30,37.977,37.977,35.604,36.074,11567124,0
2009-03-31,36.894,37.053,35.233,35.432,9101620,0
2009-04-01,34.816,37.526,34.41,37.077,10204976,0
2009-04-02,38.515,38.697,36.731,37.028,10083808,0
2009-04-03,36.222,38.515,36.203,38.515,7316788,0
2009-04-06,37.331,37.995,36.636,37.883,6472616,0
2009-04-07,37.037,37.277,36.083,36.238,9299327,0
2009-04-08,34.591,38.543,34.081,38.489,20755028,0
2009-04-09,38.768,39.436,37.156,37.616,12255826,0
2009-04-13,36.793,37.692,36.549,37.347,6163635,0
2009-04-14,36.958,38.169,36.793,37.565,5460767,0
2009-04-15,37.226,37.668,36.74,37.659,5741947,0
2009-04-16,37.746,37.968,36.603,36.872,4461732,0
2009-04-17,36.872,36.903,35.581,35.597,5360453,0
2009-04-20,34.914,35.093,32.823,33.188,9128390,0
2009-04-21,32.504,33.708,32.199,32.815,6212147,0
2009-04-22,32.225,33.665,31.293,32.565,8253499,0
2009-04-23,32.487,33.422,31.888,32.243,7890516,0
2009-04-24,32.805,34.767,32.573,34.566,7238163,0
2009-04-27,33.536,33.848,32.59,32.887,6919918,0
2009-04-28,32.418,33.234,31.977,32.833,4766238,0
2009-04-29,33.171,33.96,32.911,33.786,4832962,0
2009-04-30,34.576,35.658,33.857,34.143,6386825,0
2009-05-01,34.418,36.454,34.202,35.743,7837457,0
2009-05-04,36.636,37.555,36.29,37.365,9327643,0
2009-05-05,37.285,39.347,36.958,39.053,10693171,0
2009-05-06,39.714,39.957,38.1,38.655,7282465,0
2009-05-07,39.487,39.903,37.173,38.422,9964622,0
2009-05-08,38.966,39.208,37.503,38.361,6090249,0
2009-05-11,37.883,38.498,37.094,37.616,5169165,0
2009-05-12,38.223,40.511,37.313,40.233,10843666,0
2009-05-13,40.197,41.567,38.506,39.107,12406057,0
2009-05-14,38.872,42.91,38.57,42.476,14130814,0
2009-05-15,43.437,44.581,42.111,43.299,13305285,0
2009-05-18,44.258,46.418,43.905,46.418,10608169,0
2009-05-19,46.374,48.487,46.193,47.993,12599430,0
2009-05-20,48.894,50.081,47.657,47.95,11987460,0
2009-05-21,46.287,46.331,44.225,45.021,11406587,0
2009-05-22,46.14,47.682,46.003,46.72,9627782,0
2009-05-26,46.089,47.81,45.611,47.57,7636436,0
2009-05-27,47.388,48.495,45.725,46.044,10059284,0
2009-05-28,46.696,47.041,45.439,46.573,6297347,0
2009-05-29,47.264,47.562,45.431,46.166,6861687,0
2009-06-01,47.171,48.081,46.842,47.657,8285469,0
2009-06-02,47.742,48.317,45.239,47.234,6167265,0
2009-06-03,46.331,46.513,43.758,44.258,9326738,0
2009-06-04,44.407,46.166,44.277,45.3,7903221,0
2009-06-05,45.994,46.053,44.096,44.84,6585647,0
2009-06-08,44.096,44.122,42.857,43.68,5268117,0
2009-06-09,44.434,45.838,44.114,45.342,5248524,0
2009-06-10,46.303,47.666,45.403,46.652,8068299,0
2009-06-11,46.478,48.307,46.243,47.544,6980303,0
2009-06-12,46.85,47.787,46.114,46.823,5423075,0
2009-06-15,45.914,45.975,44.424,44.831,5411354,0
2009-06-16,45.413,45.533,42.622,43.22,6227919,0
2009-06-17,41.35,41.35,38.862,39.036,16042812,0
2009-06-18,38.778,39.894,38.48,38.637,8410211,0
2009-06-19,39.208,39.859,38.768,39.2,6564281,0
2009-06-22,38.118,38.515,35.612,35.676,9138192,0
2009-06-23,36.083,37.397,35.588,37.01,7825436,0
2009-06-24,37.643,38.498,36.872,37.209,6954657,0
2009-06-25,36.819,37.331,36.29,36.958,6042671,0
2009-06-26,35.97,37.103,35.788,36.585,8120790,0
2009-06-29,37.122,39.41,36.539,38.768,11606672,0
2009-06-30,38.151,38.672,37.268,37.39,11175933,0
2009-07-01,38.144,38.543,36.828,36.966,5918034,0
2009-07-02,36.403,39.243,36.403,38.074,8935996,0
2009-07-06,37.156,37.452,35.797,36.828,5977362,0
2009-07-07,36.731,36.966,34.68,34.816,7155340,0
2009-07-08,34.879,35.571,33.603,34.323,7112039,0
2009-07-09,35.2,36.454,35.026,36.093,6932854,0
2009-07-10,35.612,37.756,33.455,34.713,24623689,0
2009-07-13,34.263,35.831,33.243,35.831,12348253,0
2009-07-14,36.446,37.094,35.815,36.472,8345343,0
2009-07-15,37.122,38.057,36.645,37.599,8027095,0
2009-07-16,41.055,42.754,40.421,42.183,23062602,0
2009-07-17,41.863,45.881,40.805,41.825,31595821,0
2009-07-20,41.583,42.795,40.543,41.453,12701906,0
2009-07-21,42.033,42.918,40.952,41.463,7082005,0
2009-07-22,40.787,40.994,39.755,40.864,7376314,0
2009-07-23,40.309,44.297,40.309,43.421,11878005,0
2009-07-24,42.953,45.351,42.9,45.111,9954476,0
2009-07-27,45.215,46.079,44.162,44.494,7510983,0
2009-07-28,43.748,43.966,42.138,42.918,7343007,0
2009-07-29,42.311,42.311,40.985,41.547,6367657,0
2009-07-30,42.484,44.287,42.467,43.635,6348136,0
2009-07-31,43.229,44.442,42.84,44.008,5452520,0
2009-08-03,45.481,46.705,45.151,46.53,7422906,0
2009-08-04,45.895,46.459,44.98,45.3,5529268,0
2009-08-05,45.82,46.918,45.49,45.611,7316394,0
2009-08-06,46.295,46.546,44.918,45.904,5294450,0
2009-08-07,46.418,46.634,45.021,45.385,5402142,0
2009-08-10,45.221,45.734,44.132,44.642,3669866,0
2009-08-11,44,44.892,43.603,43.82,4633392,0
2009-08-12,43.386,45.274,43.211,44.763,6193324,0
2009-08-13,45.697,46.791,44.86,46.123,4914938,0
2009-08-14,45.968,46.053,45.239,45.63,3630071,0
2009-08-17,43.973,44.052,42.926,43.144,4789013,0
2009-08-18,43.722,44.794,43.291,44.46,4107103,0
2009-08-19,43.549,45.577,43.282,45.012,4482956,0
2009-08-20,45.257,46.243,45.111,45.968,5496597,0
2009-08-21,45.923,46.624,45.56,45.959,5553683,0
2009-08-24,46.339,47.034,44.945,45.283,6132511,0
2009-08-25,45.342,45.914,43.367,43.932,7263365,0
2009-08-26,43.801,44.434,43.239,43.619,4543032,0
2009-08-27,43.376,43.714,42.642,43.357,3850100,0
2009-08-28,42.528,42.778,41.521,42.033,8059448,0
2009-08-31,41.071,41.567,40.708,40.906,4688401,0
2009-09-01,40.821,42.865,40.638,41.696,9781948,0
2009-09-02,42.287,43.202,41.143,42.745,7250547,0
2009-09-03,43.255,43.341,42.407,42.935,3770828,0
2009-09-04,42.795,43.635,42.622,43.341,3335643,0
2009-09-08,43.86,44.72,43.801,44.162,4774769,0
2009-09-09,44.347,44.485,43.039,43.541,4720873,0
2009-09-10,42.804,43.152,41.929,42.804,6018823,0
2009-09-11,43.471,44.78,43.453,44.104,8153367,0
2009-09-14,42.458,43.775,42.329,43.498,5321038,0
2009-09-15,43.966,45.499,43.852,45.29,7692563,0
